Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2020/01/06,GME,GME,S,EDGX,196
2020/01/07,GME,GME,S,BATS,3082
2020/01/07,GME,GME,S,C2,935
2020/01/07,GME,GME,S,CBOE,2894
2020/01/07,GME,GME,S,EDGX,438
2020/01/08,GME,GME,S,BATS,3086
2020/01/08,GME,GME,S,C2,1771
2020/01/08,GME,GME,S,CBOE,1100
2020/01/08,GME,GME,S,EDGX,512
2020/01/09,GME,GME,S,BATS,931
2020/01/09,GME,GME,S,C2,1660
2020/01/09,GME,GME,S,CBOE,733
2020/01/09,GME,GME,S,EDGX,146
2020/01/10,GME,GME,S,BATS,578
2020/01/10,GME,GME,S,C2,1279
2020/01/10,GME,GME,S,CBOE,1163
2020/01/10,GME,GME,S,EDGX,552
2020/01/13,GME,GME,S,BATS,3211
2020/01/13,GME,GME,S,C2,463
2020/01/13,GME,GME,S,CBOE,3286
2020/01/13,GME,GME,S,EDGX,951
2020/01/14,GME,GME,S,BATS,2220
2020/01/14,GME,GME,S,C2,370
2020/01/14,GME,GME,S,CBOE,2551
2020/01/14,GME,GME,S,EDGX,879
2020/01/15,GME,GME,S,BATS,2739
2020/01/15,GME,GME,S,C2,117
2020/01/15,GME,GME,S,CBOE,1805
2020/01/15,GME,GME,S,EDGX,727
2020/01/16,GME,GME,S,BATS,1610
2020/01/16,GME,GME,S,C2,232
2020/01/16,GME,GME,S,CBOE,1803
2020/01/16,GME,GME,S,EDGX,355
2020/01/17,GME,GME,S,BATS,1280
2020/01/17,GME,GME,S,C2,132
2020/01/17,GME,GME,S,CBOE,1705
2020/01/17,GME,GME,S,EDGX,336
2020/01/21,GME,GME,S,BATS,1635
2020/01/21,GME,GME,S,C2,181
2020/01/21,GME,GME,S,CBOE,1252
2020/01/21,GME,GME,S,EDGX,476
2020/01/22,GME,GME,S,BATS,622
2020/01/22,GME,GME,S,C2,48
2020/01/22,GME,GME,S,CBOE,990
2020/01/22,GME,GME,S,EDGX,245
2020/01/23,GME,GME,S,BATS,279
2020/01/23,GME,GME,S,C2,3
2020/01/23,GME,GME,S,CBOE,265
2020/01/23,GME,GME,S,EDGX,231
2020/01/24,GME,GME,S,BATS,817
2020/01/24,GME,GME,S,C2,6
2020/01/24,GME,GME,S,CBOE,1020
2020/01/24,GME,GME,S,EDGX,163
2020/01/27,GME,GME,S,BATS,300
2020/01/27,GME,GME,S,CBOE,516
