Date,Open,High,Low,Close,Adj Close,Volume,MEAN,%Change,Log%Chang,Variance,Stdev,Volitility (w/ 21days),Sharpe Ratio,,
2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200,148.70,-0.028985448610233,-0.029413824819818,0.025970456158777,0.161153517363962,0.738498191828736,-4.40079841446575,,
2020-11-30,18.17,19.42,16.56,16.56,16.56,31983500,149.32,0.048101202531646,0.046980148537717,0.026093143943624,0.161533723858593,0.740240516870095,6.98826682138089,,
2020-12-01,17.11,17.40,15.76,15.80,15.80,12653900,149.96,-0.047044632086852,-0.048187209674228,0.026202217485332,0.161870990252522,0.741786065649639,-7.25295528205481,,
2020-12-02,15.70,16.68,15.38,16.58,16.58,7883400,150.60,0.028535916343926,0.028136350593929,0.026322271548791,0.162241398997886,0.743483491763346,4.2103936119611,,
2020-12-03,16.48,16.64,15.87,16.12,16.12,6295000,151.24,-0.046153786982249,-0.047252822815808,0.026442447037777,0.16261133735929,0.745178762306947,-7.17349241823849,,
2020-12-04,16.30,17.29,16.26,16.90,16.90,8972700,151.90,0.033639143730887,0.033085724585765,0.026565180569665,0.162988283534936,0.746906146689769,4.99880058168753,,
2020-12-07,17.00,17.50,16.22,16.35,16.35,7386300,152.55,-0.034828864531944,-0.035449850912521,0.026685671375183,0.163357495619832,0.748598089016296,-5.43462577340627,,
2020-12-08,16.37,17.21,15.93,16.94,16.94,16120200,153.22,0.240117203513909,0.21520589411314,0.026814306617484,0.163750745395202,0.750400185878953,32.9461973161428,,
2020-12-09,13.92,14.73,13.23,13.66,13.66,24357900,153.88,-0.03257790368272,-0.033120377922452,0.026691454633195,0.163375195893363,0.748679201859576,-5.12338948457192,,
2020-12-10,13.12,14.41,13.05,14.12,14.12,7558900,154.57,0.060856498873028,0.059076599658076,0.026822137755517,0.163774655412604,0.750509755343566,9.10506589864253,,
2020-12-11,13.91,14.00,13.02,13.31,13.31,7496900,155.27,0.046383647798742,0.045340074495044,0.026930523197127,0.164105219896037,0.752024592110961,7.01333379320867,,
2020-12-14,13.34,13.43,12.14,12.72,12.72,10007100,155.98,-0.08158844765343,-0.085109674721371,0.02704876327555,0.164465082237994,0.753673688532743,-13.3015795794231,,
2020-12-15,12.78,14.02,12.48,13.85,13.85,8189800,156.69,0,0,0.027159068421412,0.164800086229988,0.755208869684171,-0.026482739812582,,
